product,inventory_cycle,predicted_inventory,model_used
AC-SMOOTHIE DETOX,42,7.7474837,gru
AC-SMOOTHIE DETOX,48,8.287378,gru
AC-SMOOTHIE DETOX,50,8.281427,gru
AC-SMOOTHIE DETOX,51,8.214861,gru
AC-SMOOTHIE DETOX,51,7.3612685,gru
AC-SMOOTHIE EXOTIC,38,8.302965,gru
AC-SMOOTHIE EXOTIC,40,8.231012,gru
AC-SMOOTHIE EXOTIC,41,8.395357,gru
AC-SMOOTHIE EXOTIC,42,7.69185,gru
AC-SMOOTHIE EXOTIC,43,7.744653,gru
AC-SMOOTHIE EXOTIC,45,7.4092193,gru
AC-SMOOTHIE EXOTIC,47,7.4184203,gru
AC-SMOOTHIE EXOTIC,48,7.437761,gru
AC-SMOOTHIE EXOTIC,50,7.7946944,gru
AC-SMOOTHIE EXOTIC,51,7.6783767,gru
AC-SMOOTHIE EXOTIC,51,7.8298965,gru
AC-SMOOTHIE LE CLASSIQUE,37,8.698648,gru
AC-SMOOTHIE LE CLASSIQUE,38,8.533724,gru
AC-SMOOTHIE LE CLASSIQUE,40,8.176195,gru
AC-SMOOTHIE LE CLASSIQUE,41,8.319704,gru
AC-SMOOTHIE LE CLASSIQUE,42,7.4471755,gru
AC-SMOOTHIE LE CLASSIQUE,43,7.6243453,gru
AC-SMOOTHIE LE CLASSIQUE,45,7.3366027,gru
AC-SMOOTHIE LE CLASSIQUE,47,7.2990584,gru
AC-SMOOTHIE LE CLASSIQUE,48,7.34292,gru
AC-SMOOTHIE LE CLASSIQUE,50,7.854547,gru
AC-SMOOTHIE LE CLASSIQUE,51,7.690698,gru
AC-SMOOTHIE LE CLASSIQUE,51,7.8286376,gru
AC-SMOOTHIE PEACH'TINI,38,8.650347,gru
AC-SMOOTHIE PEACH'TINI,40,8.44713,gru
AC-SMOOTHIE PEACH'TINI,41,8.08198,gru
AC-SMOOTHIE PEACH'TINI,42,8.221094,gru
AC-SMOOTHIE PEACH'TINI,43,7.6428924,gru
AC-SMOOTHIE PEACH'TINI,45,7.33835,gru
AC-SMOOTHIE PEACH'TINI,47,7.3228393,gru
AC-SMOOTHIE PEACH'TINI,48,7.341684,gru
AC-SMOOTHIE PEACH'TINI,50,7.7958846,gru
AC-SMOOTHIE PEACH'TINI,51,7.661302,gru
AC-SMOOTHIE PEACH'TINI,51,7.8243117,gru
AC-SMOOTHIE TROPIC TRIP,40,9.056955,gru
AC-SMOOTHIE TROPIC TRIP,41,8.794725,gru
AC-SMOOTHIE TROPIC TRIP,42,8.363222,gru
AC-SMOOTHIE TROPIC TRIP,43,8.754152,gru
AC-SMOOTHIE TROPIC TRIP,45,7.7930923,gru
AC-SMOOTHIE TROPIC TRIP,47,7.7341475,gru
AC-SMOOTHIE TROPIC TRIP,48,7.768274,gru
AC-SMOOTHIE TROPIC TRIP,50,8.053774,gru
AC-SMOOTHIE TROPIC TRIP,51,7.907579,gru
AC-SMOOTHIE TROPIC TRIP,51,8.024073,gru
AGITATEUR EN BOIS 11CM,2,1038.9781,gru
AGITATEUR EN BOIS 11CM,2,655.5797,gru
AGITATEUR EN BOIS 11CM,2,1194.7899,gru
AGITATEUR EN BOIS 11CM,2,1286.0686,gru
AGITATEUR EN BOIS 11CM,2,923.3252,gru
AGITATEUR EN BOIS 11CM,2,733.56995,gru
AGITATEUR EN BOIS 11CM,2,1184.3701,gru
AGITATEUR EN BOIS 11CM,3,1142.4153,gru
AGITATEUR EN BOIS 11CM,3,1080.7809,gru
AGITATEUR EN BOIS 11CM,3,724.1476,gru
AGITATEUR EN BOIS 11CM,3,1250.8523,gru
AGITATEUR EN BOIS 11CM,3,1342.7354,gru
AGITATEUR EN BOIS 11CM,3,1281.7136,gru
AGITATEUR EN BOIS 11CM,3,768.4737,gru
AGITATEUR EN BOIS 11CM,3,1275.2877,gru
AGITATEUR EN BOIS 11CM,4,1154.5596,gru
AGITATEUR EN BOIS 11CM,4,1095.3041,gru
AGITATEUR EN BOIS 11CM,4,1290.2238,gru
AGITATEUR EN BOIS 11CM,4,1340.7804,gru
AGITATEUR EN BOIS 11CM,4,826.88934,gru
AGITATEUR EN BOIS 11CM,4,1067.2903,gru
AGITATEUR EN BOIS 11CM,5,1316.9729,gru
AGITATEUR EN BOIS 11CM,5,893.28314,gru
AGITATEUR EN BOIS 11CM,5,1194.9849,gru
AGITATEUR EN BOIS 11CM,5,1302.3765,gru
AGITATEUR EN BOIS 11CM,5,1415.0107,gru
AGITATEUR EN BOIS 11CM,5,1394.7928,gru
AGITATEUR EN BOIS 11CM,5,1182.1073,gru
AGITATEUR EN BOIS 11CM,5,1284.6031,gru
AGITATEUR EN BOIS 11CM,5,1160.5592,gru
AGITATEUR EN BOIS 11CM,6,1161.3235,gru
AGRAFFE,15,7.6900954,gru
AGRAFFE,16,8.202372,gru
AGRAFFE,18,8.544138,gru
AGRAFFE,19,8.500887,gru
AGRAFFE,20,8.959185,gru
AGRAFFE,21,8.414057,gru
AGRAFFE,22,7.8068633,gru
AGRAFFE,22,8.506693,gru
AGRAFFE,23,8.2742405,gru
AGRAFFE,25,8.106409,gru
AGRAFFE,25,8.025438,gru
AGRAFFE,27,7.8921065,gru
AGRAFFE,28,7.181894,gru
AGRAFFE,29,7.804559,gru
AGRAFFE,33,6.741533,gru
AGRAFFE,34,6.729875,gru
AGRAFFE,36,7.781221,gru
AGRAFFE,36,6.8448424,gru
AGRAFFE,37,7.7210555,gru
AGRAFFE,37,7.8485656,gru
AGRAFFE,38,7.9701552,gru
AGRAFFE,40,7.4681716,gru
AGRAFFE,40,7.05092,gru
AGRAFFE,41,5.7721725,gru
AGRAFFE,43,5.250795,gru
AGRAFFE,44,5.4707885,gru
AGRAFFE,45,5.3865447,gru
AGRAFFE,47,5.174333,gru
AGRAFFE,48,5.511644,gru
AGRAFFE,52,5.328256,gru
AIL,8,6.9581084,gru
AIL,8,6.9031463,gru
AIL,9,6.915849,gru
AIL,10,7.252786,gru
AIL,10,7.4051147,gru
AIL,12,7.0802627,gru
AIL,13,6.903444,gru
AIL,13,7.2613387,gru
AIL,14,7.30504,gru
AIL,15,7.5765166,gru
AIL,15,7.8049254,gru
AIL,15,7.86931,gru
AIL,16,7.814409,gru
AIL,17,8.076548,gru
AIL,18,7.8254867,gru
AIL,18,7.7212462,gru
AIL,19,7.637674,gru
AIL,19,7.1727767,gru
AIL,19,7.150789,gru
AIL,20,7.203012,gru
AIL,21,7.121652,gru
AIL,21,6.5789504,gru
AIL,22,6.6914916,gru
AIL,22,6.8118987,gru
AIL,22,6.653978,gru
AIL,23,6.4513717,gru
AIL,23,5.3015075,gru
AIL,24,5.389398,gru
AIL,24,6.9214644,gru
AIL,25,6.875215,gru
AIL,25,6.0965056,gru
AIL,25,7.1237884,gru
AIL,26,7.0328155,gru
AIL,27,6.077081,gru
AIL,28,5.7683196,gru
AIL,28,5.796701,gru
AIL,29,5.684526,gru
AIL,29,6.664224,gru
AIL,30,6.7614226,gru
AIL,30,6.347711,gru
AIL,30,4.9297347,gru
AIL,31,6.206926,gru
AIL,31,5.717996,gru
AIL,31,4.891603,gru
AIL,31,5.9994216,gru
AIL,32,5.336099,gru
AIL,32,5.7297683,gru
AIL,34,5.983644,gru
AIL,34,5.4017577,gru
AIL,35,5.772676,gru
AIL,36,6.4366927,gru
AIL,37,5.4425216,gru
AIL,38,6.2162185,gru
AIL,38,6.264665,gru
AIL,39,6.408792,gru
AIL,40,6.4342284,gru
AIL,41,6.0844283,gru
AIL,42,5.730493,gru
AIL,43,5.6259475,gru
AIL,43,5.525697,gru
AIL,44,4.846727,gru
AIL,44,4.828798,gru
AIL,46,4.53663,gru
AIL,47,4.221811,gru
AIL,48,4.525743,gru
AIL,48,4.735666,gru
AIL,49,4.904741,gru
AIL,49,4.719583,gru
AIL,50,4.790849,gru
AIL,50,5.303262,gru
AIL,50,5.562204,gru
AIL,51,6.004144,gru
AIL,52,6.0237594,gru
AIL,52,6.3974853,gru
AIL EN POUDRE,33,5.899759,gru
AIL EN POUDRE,34,6.3448806,gru
AIL EN POUDRE,35,5.7210937,gru
AIL EN POUDRE,38,5.3658614,gru
AIL EN POUDRE,39,6.067796,gru
AIL EN POUDRE,39,6.615068,gru
AIL EN POUDRE,40,6.326425,gru
AIL EN POUDRE,42,6.6830077,gru
AIL EN POUDRE,43,6.3747954,gru
AIL EN POUDRE,44,5.482866,gru
AIL EN POUDRE,44,4.8866286,gru
AIL EN POUDRE,45,4.6097655,gru
AIL EN POUDRE,47,4.1222243,gru
AIL EN POUDRE,47,4.112375,gru
AIL EN POUDRE,51,4.088571,gru
AJAX VITRE,2,6.669992,gru
AJAX VITRE,2,6.795007,gru
AJAX VITRE,2,7.043039,gru
AJAX VITRE,2,7.183748,gru
AJAX VITRE,3,7.114244,gru
AJAX VITRE,3,7.0816436,gru
AJAX VITRE,3,7.22397,gru
AJAX VITRE,3,7.5338073,gru
AJAX VITRE,3,7.715959,gru
AJAX VITRE,3,7.6564574,gru
AJAX VITRE,4,7.7863708,gru
AJAX VITRE,4,7.8292937,gru
AJAX VITRE,4,7.701532,gru
AJAX VITRE,4,7.8396087,gru
AJAX VITRE,4,7.9335494,gru
AJAX VITRE,4,7.833261,gru
AJAX VITRE,5,7.7273803,gru
AJAX VITRE,5,7.392534,gru
AJAX VITRE,5,7.2222075,gru
AJAX VITRE,5,7.48607,gru
AJAX VITRE,5,7.327638,gru
AJAX VITRE,6,7.120996,gru
AJAX VITRE,6,7.0384994,gru
AJAX VITRE,6,7.246797,gru
AJAX VITRE,6,7.1232924,gru
AJAX VITRE,6,7.1150146,gru
AJAX VITRE,6,6.875833,gru
AJAX VITRE,6,6.8190856,gru
AJAX VITRE,6,7.212671,gru
AJAX VITRE,6,7.1659865,gru
AJAX VITRE,7,7.2893386,gru
AJAX VITRE,7,7.4370284,gru
AJAX VITRE,7,7.4431396,gru
AJAX VITRE,7,7.5403533,gru
AJAX VITRE,7,7.6304717,gru
AJAX VITRE,7,7.406183,gru
AJAX VITRE,7,7.4059463,gru
AJAX VITRE,7,7.5441985,gru
AJAX VITRE,7,7.5006804,gru
AJAX VITRE,8,7.540506,gru
AJAX VITRE,8,7.3924117,gru
AJAX VITRE,8,7.341844,gru
AJAX VITRE,8,7.6389785,gru
AJAX VITRE,9,7.5132766,gru
AJAX VITRE,9,7.3044906,gru
AJAX VITRE,9,7.2389464,gru
AJAX VITRE,9,6.935571,gru
AJAX VITRE,9,7.0114303,gru
AJAX VITRE,9,7.3220305,gru
AJAX VITRE,9,7.3664412,gru
AJAX VITRE,10,7.2919936,gru
AJAX VITRE,10,7.2120376,gru
AJAX VITRE,10,6.846864,gru
AJAX VITRE,11,6.936586,gru
AJAX VITRE,11,7.142984,gru
AJAX VITRE,11,6.975328,gru
AJAX VITRE,11,7.390001,gru
AJAX VITRE,11,7.5135055,gru
AJAX VITRE,11,7.519174,gru
AJAX VITRE,11,7.041673,gru
AJAX VITRE,11,6.9941497,gru
AJAX VITRE,11,6.9017043,gru
AJAX VITRE,11,7.1165557,gru
AJAX VITRE,12,7.2703567,gru
AJAX VITRE,12,7.3029037,gru
AJAX VITRE,12,7.328317,gru
AJAX VITRE,12,7.1969543,gru
AJAX VITRE,12,6.9714065,gru
AJAX VITRE,12,6.788156,gru
AJAX VITRE,12,7.234903,gru
AJAX VITRE,12,7.1617675,gru
AJAX VITRE,12,6.711183,gru
AJAX VITRE,12,6.896257,gru
AJAX VITRE,12,6.873689,gru
AJAX VITRE,12,6.976091,gru
AJAX VITRE,13,6.7347503,gru
AJAX VITRE,13,6.8230376,gru
AJAX VITRE,13,7.347757,gru
AJAX VITRE,13,7.473245,gru
AJAX VITRE,13,7.4748855,gru
AJAX VITRE,13,7.2007613,gru
AJAX VITRE,13,7.0499663,gru
AJAX VITRE,13,6.8179946,gru
AJAX VITRE,13,7.2577605,gru
AJAX VITRE,13,7.067369,gru
AJAX VITRE,13,7.1889815,gru
AJAX VITRE,13,7.1821914,gru
AJAX VITRE,13,7.0458846,gru
AJAX VITRE,14,7.004991,gru
AJAX VITRE,14,6.996515,gru
AJAX VITRE,14,7.194391,gru
AJAX VITRE,14,7.061067,gru
AJAX VITRE,14,7.0331206,gru
AJAX VITRE,14,7.0765395,gru
AJAX VITRE,14,7.541696,gru
AJAX VITRE,14,7.308252,gru
AJAX VITRE,14,6.949243,gru
AJAX VITRE,14,6.5807967,gru
AJAX VITRE,14,6.4420943,gru
AJAX VITRE,14,7.0750976,gru
AJAX VITRE,15,7.1415877,gru
AJAX VITRE,15,7.2537017,gru
AJAX VITRE,15,7.3901076,gru
AJAX VITRE,15,7.15085,gru
AJAX VITRE,15,6.7547164,gru
AJAX VITRE,15,6.5468383,gru
AJAX VITRE,15,6.594133,gru
AJAX VITRE,15,6.7240005,gru
AJAX VITRE,15,7.2964873,gru
AJAX VITRE,15,6.909471,gru
AJAX VITRE,16,6.7891097,gru
AJAX VITRE,16,6.9602904,gru
AJAX VITRE,16,6.8386016,gru
AJAX VITRE,16,6.8743377,gru
AJAX VITRE,16,6.9966903,gru
AJAX VITRE,16,7.098161,gru
AJAX VITRE,16,7.0009093,gru
AJAX VITRE,16,6.8748565,gru
AJAX VITRE,16,6.5809646,gru
AJAX VITRE,16,6.507631,gru
AJAX VITRE,16,6.847238,gru
AJAX VITRE,16,6.7740493,gru
AJAX VITRE,17,6.813974,gru
AJAX VITRE,17,7.14953,gru
AJAX VITRE,17,7.2991652,gru
AJAX VITRE,17,7.431009,gru
AJAX VITRE,17,7.1599135,gru
AJAX VITRE,17,7.11149,gru
AJAX VITRE,17,6.8039794,gru
AJAX VITRE,17,7.0411315,gru
AJAX VITRE,17,7.0178924,gru
AJAX VITRE,17,6.8482757,gru
AJAX VITRE,17,7.0751433,gru
AJAX VITRE,17,6.886873,gru
AJAX VITRE,17,6.8481765,gru
AJAX VITRE,18,6.9796004,gru
AJAX VITRE,18,6.682817,gru
AJAX VITRE,18,6.389711,gru
AJAX VITRE,18,6.628259,gru
AJAX VITRE,18,6.7579284,gru
AJAX VITRE,18,6.8215346,gru
AJAX VITRE,18,6.7139907,gru
AJAX VITRE,18,6.838243,gru
AJAX VITRE,18,7.0821395,gru
AJAX VITRE,18,7.0465865,gru
AJAX VITRE,18,7.063722,gru
AJAX VITRE,18,6.569406,gru
AJAX VITRE,18,6.189317,gru
AJAX VITRE,18,7.067735,gru
AJAX VITRE,18,7.03042,gru
AJAX VITRE,18,7.075479,gru
AJAX VITRE,18,7.128816,gru
AJAX VITRE,19,7.162744,gru
AJAX VITRE,19,7.19169,gru
AJAX VITRE,19,7.0697646,gru
AJAX VITRE,19,6.8694854,gru
AJAX VITRE,19,6.368875,gru
AJAX VITRE,19,6.9753737,gru
AJAX VITRE,19,6.8127837,gru
AJAX VITRE,19,6.8845916,gru
AJAX VITRE,19,6.859781,gru
AJAX VITRE,19,7.167871,gru
AJAX VITRE,19,7.2568145,gru
AJAX VITRE,19,7.3446517,gru
AJAX VITRE,19,7.044687,gru
AJAX VITRE,19,6.2135177,gru
AJAX VITRE,19,5.983873,gru
AJAX VITRE,19,6.0283065,gru
AJAX VITRE,19,6.8892074,gru
AJAX VITRE,19,6.241037,gru
AJAX VITRE,19,7.25699,gru
AJAX VITRE,19,7.405153,gru
AJAX VITRE,20,7.313539,gru
AJAX VITRE,20,6.8430495,gru
AJAX VITRE,20,6.793222,gru
AJAX VITRE,20,6.580919,gru
AJAX VITRE,20,6.564821,gru
AJAX VITRE,20,7.6210723,gru
AJAX VITRE,20,7.5843444,gru
AJAX VITRE,20,7.3806624,gru
AJAX VITRE,20,7.5062194,gru
AJAX VITRE,20,7.435045,gru
AJAX VITRE,20,7.2827697,gru
AJAX VITRE,20,7.3803725,gru
AJAX VITRE,20,7.4238753,gru
AJAX VITRE,20,7.473291,gru
AJAX VITRE,20,7.5583816,gru
AJAX VITRE,20,7.374124,gru
AJAX VITRE,20,6.4116683,gru
AJAX VITRE,21,7.1028304,gru
AJAX VITRE,21,5.707628,gru
AJAX VITRE,21,5.881616,gru
AJAX VITRE,21,7.2434173,gru
AJAX VITRE,21,7.320184,gru
AJAX VITRE,21,7.396196,gru
AJAX VITRE,21,7.4230895,gru
AJAX VITRE,21,7.029588,gru
AJAX VITRE,21,5.8643203,gru
AJAX VITRE,21,5.8295684,gru
AJAX VITRE,21,5.7515807,gru
AJAX VITRE,21,6.1674743,gru
AJAX VITRE,22,7.4046874,gru
AJAX VITRE,22,7.4395995,gru
AJAX VITRE,22,7.2582717,gru
AJAX VITRE,22,6.90278,gru
AJAX VITRE,22,5.6243987,gru
AJAX VITRE,22,5.7904906,gru
AJAX VITRE,22,5.852884,gru
AJAX VITRE,22,6.129968,gru
AJAX VITRE,22,7.400087,gru
AJAX VITRE,22,7.5440764,gru
AJAX VITRE,22,7.4132705,gru
AJAX VITRE,22,6.3181167,gru
AJAX VITRE,22,6.3224425,gru
AJAX VITRE,22,6.5670104,gru
AJAX VITRE,23,7.661897,gru
AJAX VITRE,23,7.449655,gru
AJAX VITRE,23,7.2814727,gru
AJAX VITRE,23,7.1709533,gru
AJAX VITRE,23,7.1021514,gru
AJAX VITRE,23,7.0836425,gru
AJAX VITRE,23,7.0694823,gru
AJAX VITRE,23,7.1127486,gru
AJAX VITRE,23,6.998338,gru
AJAX VITRE,23,5.902574,gru
AJAX VITRE,23,5.7475905,gru
AJAX VITRE,23,5.7264037,gru
AJAX VITRE,23,5.7327285,gru
AJAX VITRE,23,5.9500213,gru
AJAX VITRE,23,6.1026855,gru
AJAX VITRE,24,6.1966567,gru
AJAX VITRE,24,5.939943,gru
AJAX VITRE,24,5.729875,gru
AJAX VITRE,24,5.572458,gru
AJAX VITRE,24,5.5045333,gru
AJAX VITRE,24,5.4001327,gru
AJAX VITRE,24,5.5617003,gru
AJAX VITRE,24,6.981088,gru
AJAX VITRE,24,6.930307,gru
AJAX VITRE,24,6.7338195,gru
AJAX VITRE,24,5.442041,gru
AJAX VITRE,24,5.456651,gru
AJAX VITRE,24,5.5058837,gru
AJAX VITRE,24,5.552522,gru
AJAX VITRE,25,5.765741,gru
AJAX VITRE,25,6.1596847,gru
AJAX VITRE,25,7.0119185,gru
AJAX VITRE,25,6.044885,gru
AJAX VITRE,25,6.1399245,gru
AJAX VITRE,25,5.8328414,gru
AJAX VITRE,26,5.696153,gru
AJAX VITRE,26,5.4317946,gru
AJAX VITRE,26,5.6923995,gru
AJAX VITRE,26,7.0343795,gru
AJAX VITRE,26,6.919214,gru
AJAX VITRE,26,5.9802947,gru
AJAX VITRE,26,6.9865813,gru
AJAX VITRE,26,6.6924148,gru
AJAX VITRE,26,5.232034,gru
AJAX VITRE,26,5.0775924,gru
AJAX VITRE,26,5.44169,gru
AJAX VITRE,26,6.631288,gru
AJAX VITRE,27,6.6540847,gru
AJAX VITRE,27,6.745218,gru
AJAX VITRE,27,6.7586913,gru
AJAX VITRE,27,5.457704,gru
AJAX VITRE,27,5.564386,gru
AJAX VITRE,27,5.5725265,gru
AJAX VITRE,27,5.5264907,gru
AJAX VITRE,28,6.698259,gru
AJAX VITRE,28,5.6566787,gru
AJAX VITRE,28,6.770967,gru
AJAX VITRE,28,6.939096,gru
AJAX VITRE,28,6.929689,gru
AJAX VITRE,28,5.606363,gru
AJAX VITRE,28,6.6008315,gru
AJAX VITRE,28,6.229318,gru
AJAX VITRE,28,4.778665,gru
AJAX VITRE,28,6.010118,gru
AJAX VITRE,29,6.0360656,gru
AJAX VITRE,29,6.0679793,gru
AJAX VITRE,29,6.231294,gru
AJAX VITRE,29,6.3147674,gru
AJAX VITRE,29,5.1569533,gru
AJAX VITRE,29,5.357324,gru
AJAX VITRE,29,5.032808,gru
AJAX VITRE,29,5.126985,gru
AJAX VITRE,29,5.390161,gru
AJAX VITRE,29,6.4858794,gru
AJAX VITRE,29,6.5365233,gru
AJAX VITRE,30,6.7234893,gru
AJAX VITRE,30,6.739351,gru
AJAX VITRE,30,6.229234,gru
AJAX VITRE,30,6.6067595,gru
AJAX VITRE,30,5.154512,gru
AJAX VITRE,30,6.0965667,gru
AJAX VITRE,30,5.7961364,gru
AJAX VITRE,31,5.8165526,gru
AJAX VITRE,31,5.826631,gru
AJAX VITRE,31,5.4472976,gru
AJAX VITRE,31,5.2245116,gru
AJAX VITRE,31,4.9223266,gru
AJAX VITRE,31,4.361551,gru
AJAX VITRE,32,4.1894546,gru
AJAX VITRE,32,3.8492906,gru
AJAX VITRE,32,4.1873183,gru
AJAX VITRE,32,5.3959517,gru
AJAX VITRE,32,5.6624923,gru
AJAX VITRE,32,4.796785,gru
AJAX VITRE,32,4.9005523,gru
AJAX VITRE,32,4.6196685,gru
AJAX VITRE,32,4.9262023,gru
AJAX VITRE,32,3.569948,gru
AJAX VITRE,32,3.3305223,gru
AJAX VITRE,32,4.1997848,gru
AJAX VITRE,33,4.076616,gru
AJAX VITRE,33,4.236673,gru
AJAX VITRE,33,4.239366,gru
AJAX VITRE,33,5.4056487,gru
AJAX VITRE,33,5.61223,gru
AJAX VITRE,33,5.236261,gru
AJAX VITRE,33,4.6810546,gru
AJAX VITRE,33,4.791124,gru
AJAX VITRE,33,4.277147,gru
AJAX VITRE,33,3.7725465,gru
AJAX VITRE,33,4.791345,gru
AJAX VITRE,33,4.5187697,gru
AJAX VITRE,33,4.274713,gru
AJAX VITRE,34,4.486795,gru
AJAX VITRE,34,4.343202,gru
AJAX VITRE,34,4.9147506,gru
AJAX VITRE,34,5.6774154,gru
AJAX VITRE,34,5.665376,gru
AJAX VITRE,34,5.1565948,gru
AJAX VITRE,34,5.5988708,gru
AJAX VITRE,34,5.338197,gru
AJAX VITRE,34,4.6653533,gru
AJAX VITRE,35,4.720201,gru
AJAX VITRE,35,4.2922378,gru
AJAX VITRE,35,3.9520357,gru
AJAX VITRE,35,3.8005083,gru
AJAX VITRE,35,3.477823,gru
AJAX VITRE,35,2.7234437,gru
AJAX VITRE,35,3.9107912,gru
AJAX VITRE,35,3.9251344,gru
AJAX VITRE,35,4.1350265,gru
AJAX VITRE,35,4.730165,gru
AJAX VITRE,35,4.530809,gru
AJAX VITRE,35,4.085382,gru
AJAX VITRE,35,3.6687868,gru
AJAX VITRE,35,3.8002412,gru
AJAX VITRE,36,3.625261,gru
AJAX VITRE,36,3.677797,gru
AJAX VITRE,36,3.5558717,gru
AJAX VITRE,36,4.5441146,gru
AJAX VITRE,36,5.0830474,gru
AJAX VITRE,36,4.723001,gru
AJAX VITRE,36,4.746927,gru
AJAX VITRE,36,5.0295806,gru
AJAX VITRE,36,5.450029,gru
AJAX VITRE,36,5.5978026,gru
AJAX VITRE,36,5.5570617,gru
AJAX VITRE,36,5.716676,gru
AJAX VITRE,36,5.954782,gru
AJAX VITRE,36,6.013101,gru
AJAX VITRE,36,6.0383162,gru
AJAX VITRE,37,5.4682403,gru
AJAX VITRE,37,4.7772384,gru
AJAX VITRE,37,4.238519,gru
AJAX VITRE,37,3.7947023,gru
AJAX VITRE,37,3.4578798,gru
AJAX VITRE,37,3.7214372,gru
AJAX VITRE,37,3.5909975,gru
AJAX VITRE,37,4.1483703,gru
AJAX VITRE,37,4.789636,gru
AJAX VITRE,37,5.548227,gru
AJAX VITRE,37,5.1478057,gru
AJAX VITRE,37,4.4447875,gru
AJAX VITRE,37,3.7030962,gru
AJAX VITRE,37,3.91971,gru
AJAX VITRE,38,4.4163604,gru
AJAX VITRE,38,4.6859603,gru
AJAX VITRE,38,5.0423217,gru
AJAX VITRE,38,5.4742446,gru
AJAX VITRE,38,5.921457,gru
AJAX VITRE,38,5.742952,gru
AJAX VITRE,38,5.384279,gru
AJAX VITRE,38,5.190599,gru
AJAX VITRE,38,4.62124,gru
AJAX VITRE,38,3.891115,gru
AJAX VITRE,38,3.4101045,gru
AJAX VITRE,39,3.6139696,gru
AJAX VITRE,39,3.561342,gru
AJAX VITRE,39,3.2672746,gru
AJAX VITRE,39,3.5607622,gru
AJAX VITRE,39,4.1986556,gru
AJAX VITRE,39,4.1779876,gru
AJAX VITRE,39,4.790956,gru
AJAX VITRE,39,4.304048,gru
AJAX VITRE,39,3.8078325,gru
AJAX VITRE,39,3.3800905,gru
AJAX VITRE,39,3.256273,gru
AJAX VITRE,39,3.390558,gru
AJAX VITRE,39,3.3062532,gru
AJAX VITRE,40,3.790552,gru
AJAX VITRE,40,4.0687118,gru
AJAX VITRE,40,3.7290971,gru
AJAX VITRE,40,3.9416978,gru
AJAX VITRE,40,3.630739,gru
AJAX VITRE,40,3.2615983,gru
AJAX VITRE,40,3.0780504,gru
AJAX VITRE,40,3.5400789,gru
AJAX VITRE,40,4.6335387,gru
AJAX VITRE,40,5.202043,gru
AJAX VITRE,40,6.274118,gru
AJAX VITRE,40,6.645082,gru
AJAX VITRE,40,6.165735,gru
AJAX VITRE,40,5.379007,gru
AJAX VITRE,40,4.4671493,gru
AJAX VITRE,40,3.6563509,gru
AJAX VITRE,40,3.0958574,gru
AJAX VITRE,40,3.5040605,gru
AJAX VITRE,41,4.003206,gru
AJAX VITRE,41,4.684831,gru
AJAX VITRE,41,4.744325,gru
AJAX VITRE,41,5.616342,gru
AJAX VITRE,41,5.270845,gru
AJAX VITRE,41,5.3437285,gru
AJAX VITRE,41,4.777635,gru
AJAX VITRE,41,4.035669,gru
AJAX VITRE,41,3.3201158,gru
AJAX VITRE,41,3.2563188,gru
AJAX VITRE,41,3.7103593,gru
AJAX VITRE,41,4.6798797,gru
AJAX VITRE,41,4.7641616,gru
AJAX VITRE,41,5.8850265,gru
AJAX VITRE,41,5.9842925,gru
AJAX VITRE,42,6.2653213,gru
AJAX VITRE,42,5.575128,gru
AJAX VITRE,42,4.723375,gru
AJAX VITRE,42,3.9866273,gru
AJAX VITRE,42,3.2406328,gru
AJAX VITRE,42,3.1050508,gru
AJAX VITRE,42,3.585512,gru
AJAX VITRE,42,4.301248,gru
AJAX VITRE,42,4.4434295,gru
AJAX VITRE,42,4.8645873,gru
AJAX VITRE,42,5.1176467,gru
AJAX VITRE,43,5.478494,gru
AJAX VITRE,43,5.7921996,gru
AJAX VITRE,43,5.987901,gru
AJAX VITRE,43,5.406915,gru
AJAX VITRE,43,4.4469924,gru
AJAX VITRE,43,4.8110747,gru
AJAX VITRE,43,5.4065795,gru
AJAX VITRE,43,5.3961425,gru
AJAX VITRE,43,5.023866,gru
AJAX VITRE,43,5.484163,gru
AJAX VITRE,44,5.3345656,gru
AJAX VITRE,44,5.095178,gru
AJAX VITRE,44,5.0294433,gru
AJAX VITRE,44,4.4439635,gru
AJAX VITRE,44,4.105928,gru
AJAX VITRE,44,3.99637,gru
AJAX VITRE,44,3.93593,gru
AJAX VITRE,44,4.1523147,gru
AJAX VITRE,44,4.4221206,gru
AJAX VITRE,44,4.867601,gru
AJAX VITRE,44,4.7596526,gru
AJAX VITRE,44,5.0058,gru
AJAX VITRE,45,4.9839873,gru
AJAX VITRE,45,4.857797,gru
AJAX VITRE,45,5.137918,gru
AJAX VITRE,45,5.0260177,gru
AJAX VITRE,45,4.9152083,gru
AJAX VITRE,45,5.1406264,gru
AJAX VITRE,45,5.0389495,gru
AJAX VITRE,45,5.3583007,gru
AJAX VITRE,45,5.6066527,gru
AJAX VITRE,45,6.140825,gru
AJAX VITRE,45,6.330751,gru
AJAX VITRE,45,6.048982,gru
AJAX VITRE,45,6.026521,gru
AJAX VITRE,46,6.080972,gru
AJAX VITRE,46,5.9406524,gru
AJAX VITRE,46,6.3016067,gru
AJAX VITRE,46,5.5223937,gru
AJAX VITRE,46,5.7063537,gru
AJAX VITRE,46,5.5486617,gru
AJAX VITRE,46,5.3148894,gru
AJAX VITRE,46,5.303613,gru
AJAX VITRE,46,5.0948195,gru
AJAX VITRE,46,5.256555,gru
